Comment,Designator,Footprint,LCSC,Quantity
boot,"SW1,SWR1",SW_SPST_TL3342,C115351,2
1k,R8,R_0402_1005Metric,C11702,1
100n,"C1,C10,C11,C12,C13,C14,C15,C5,C6,C9",C_0402_1005Metric,C1525,10
10uF,C7,C_0402_1005Metric,C15525,1
22pF,"C2,C3",C_0402_1005Metric,C1555,2
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
RP2040,U1,RP2040-QFN-56,C2040,1
27R,"R1,R2",R_0603_1608Metric,C25190,2
1k,R4,R_0402_1005Metric,C25543,1
5k1,"R5,R6,R7",R_0402_1005Metric,C25905,3
USBLC6-2SC6,U2,SOT-23-6,C2827654,1
W25Q16JVUXIQ,IC1,SON50P300X200X60-9N,C2843335,1
1uF,"C16,C17,C4,C8",C_0402_1005Metric,C52923,4
XC6206PxxxMR-Regulator_Linear,U3,SOT-23,C5446,1
500mA,F1,Fuse_1206_3216Metric,C70076,1
D_Small,"D1,D10,D100,D101,D102,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90,D91,D92,D93,D94,D95,D96,D97,D98,D99",D_SOD-123F,C81598,102
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1
